EngSize,Age,Gender,Marital,exp,Owner,Garage,AntiTFD,import,LossClass,vAgeNew
2,56,男,已婚,20,公司,有,有防盗装置,进口,0,旧车
1.8,41,男,已婚,20,公司,有,无防盗装置,国产,0,旧车
2,44,男,未婚,20,公司,有,有防盗装置,国产,0,旧车
1.6,56,男,已婚,20,公司,有,有防盗装置,国产,0,旧车
1.8,45,男,已婚,20,公司,无,无防盗装置,国产,0,旧车
1.8,40,男,已婚,20,公司,有,无防盗装置,国产,0,旧车
1.8,54,男,已婚,20,公司,无,无防盗装置,国产,0,旧车
1.8,54,男,已婚,20,公司,有,无防盗装置,进口,0,旧车
1.8,45,男,已婚,20,政府,无,无防盗装置,国产,0,旧车
2,43,男,已婚,20,公司,有,无防盗装置,进口,1,旧车
1.8,40,男,已婚,20,公司,有,无防盗装置,国产,0,旧车
1.6,50,男,已婚,20,政府,无,有防盗装置,进口,0,旧车
2.4,56,男,已婚,20,公司,有,有防盗装置,进口,0,旧车
1.6,46,男,已婚,20,公司,有,无防盗装置,国产,0,旧车
1.8,39,男,已婚,20,公司,有,无防盗装置,国产,0,旧车
1.8,41,男,已婚,20,政府,有,无防盗装置,国产,0,旧车
1.8,41,男,已婚,20,政府,有,无防盗装置,国产,0,旧车
1.8,38,男,已婚,20,公司,有,无防盗装置,国产,0,旧车
1.8,57,男,已婚,20,私人,有,无防盗装置,国产,0,新车
2,49,男,已婚,20,私人,有,无防盗装置,国产,0,新车
2,49,男,已婚,20,政府,无,无防盗装置,国产,0,新车
2,45,男,已婚,20,私人,有,无防盗装置,国产,0,新车
1.8,44,男,已婚,20,私人,有,有防盗装置,国产,0,新车
1.8,43,男,已婚,20,公司,有,无防盗装置,国产,0,新车
1.8,42,男,已婚,20,私人,有,无防盗装置,国产,1,新车
1.8,41,男,已婚,20,公司,有,无防盗装置,国产,0,新车
1.8,41,男,已婚,20,私人,有,无防盗装置,进口,0,新车
1.8,40,男,已婚,20,私人,有,无防盗装置,国产,1,新车
1.8,47,男,已婚,19,公司,有,无防盗装置,国产,0,旧车
3,43,男,已婚,19,公司,有,无防盗装置,进口,0,旧车
1.6,40,男,已婚,19,公司,有,无防盗装置,国产,0,旧车
1.8,50,男,已婚,19,公司,无,有防盗装置,进口,0,旧车
2,41,男,已婚,19,公司,有,无防盗装置,进口,0,旧车
1.8,47,男,已婚,19,公司,有,无防盗装置,国产,0,旧车
1.8,48,男,已婚,19,公司,有,无防盗装置,进口,0,旧车
1.8,46,男,已婚,19,公司,有,无防盗装置,国产,0,旧车
1.8,40,男,已婚,19,公司,无,无防盗装置,国产,0,旧车
1.6,44,男,已婚,19,私人,有,无防盗装置,国产,0,旧车
1.8,39,男,已婚,19,公司,有,无防盗装置,国产,0,旧车
2,41,男,已婚,19,私人,有,无防盗装置,进口,0,旧车
1.6,40,男,已婚,19,私人,有,无防盗装置,国产,0,旧车
2,52,男,已婚,19,公司,有,无防盗装置,国产,0,旧车
1.2,54,男,已婚,19,公司,有,无防盗装置,国产,1,新车
2,49,男,已婚,19,政府,有,无防盗装置,进口,0,新车
2,45,男,已婚,19,私人,有,无防盗装置,国产,0,新车
1.8,44,男,已婚,19,私人,有,无防盗装置,国产,0,新车
3,44,男,已婚,19,政府,有,无防盗装置,进口,1,新车
1,43,男,已婚,19,公司,无,无防盗装置,国产,0,新车
1.8,41,男,已婚,19,公司,有,无防盗装置,国产,1,新车
1.8,41,男,已婚,19,私人,有,无防盗装置,国产,1,新车
1.8,40,男,已婚,19,私人,有,无防盗装置,进口,0,新车
2,40,男,已婚,19,公司,有,无防盗装置,国产,0,新车
2,40,男,已婚,19,私人,有,无防盗装置,进口,0,新车
2.2,38,男,已婚,19,私人,有,无防盗装置,进口,0,新车
1.8,41,男,已婚,18,公司,有,无防盗装置,国产,0,旧车
1.6,47,男,已婚,18,公司,有,无防盗装置,国产,0,旧车
1.8,46,男,已婚,18,私人,有,无防盗装置,国产,0,旧车
1.8,44,男,已婚,18,政府,有,无防盗装置,国产,0,旧车
2,42,男,已婚,18,公司,有,无防盗装置,进口,0,旧车
2.2,41,男,已婚,18,政府,有,无防盗装置,进口,0,旧车
1.8,52,男,已婚,18,公司,有,无防盗装置,国产,0,旧车
1.8,48,男,已婚,18,政府,有,有防盗装置,国产,0,旧车
1.6,44,男,已婚,18,公司,有,无防盗装置,国产,1,旧车
1.6,41,男,已婚,18,公司,有,有防盗装置,国产,0,旧车
1,47,男,已婚,18,政府,有,无防盗装置,国产,0,旧车
1.8,46,男,已婚,18,政府,有,无防盗装置,国产,0,旧车
2,40,男,已婚,18,公司,有,有防盗装置,进口,0,旧车
1.8,47,男,已婚,18,政府,有,无防盗装置,国产,0,旧车
1.8,42,男,已婚,18,公司,有,无防盗装置,国产,0,旧车
1.2,39,男,已婚,18,政府,有,无防盗装置,国产,0,旧车
1.8,39,男,已婚,18,政府,有,有防盗装置,进口,0,旧车
1.8,48,男,已婚,18,公司,有,无防盗装置,国产,0,旧车
1.8,47,男,已婚,18,私人,有,无防盗装置,国产,0,旧车
1.6,44,男,已婚,18,政府,有,无防盗装置,国产,0,旧车
1.6,37,男,已婚,18,政府,有,有防盗装置,国产,0,旧车
1.8,44,男,已婚,18,政府,有,无防盗装置,国产,0,旧车
1.6,41,男,已婚,18,私人,有,无防盗装置,国产,1,旧车
1.8,41,男,已婚,18,公司,有,有防盗装置,国产,0,旧车
2.2,38,男,已婚,18,公司,无,无防盗装置,进口,0,旧车
1.8,53,男,已婚,18,私人,有,无防盗装置,国产,0,新车
1.8,50,男,已婚,18,公司,有,无防盗装置,国产,0,新车
1,48,男,已婚,18,私人,有,无防盗装置,国产,0,新车
2,48,男,已婚,18,政府,有,无防盗装置,国产,1,新车
1.3,47,男,已婚,18,私人,有,有防盗装置,国产,0,新车
1.8,45,男,已婚,18,私人,有,无防盗装置,进口,1,新车
1.6,44,男,已婚,18,私人,有,无防盗装置,国产,0,新车
1.8,42,男,已婚,18,公司,无,无防盗装置,国产,0,新车
1.6,41,男,已婚,18,公司,有,无防盗装置,进口,0,新车
1.8,41,男,已婚,18,政府,有,无防盗装置,国产,1,新车
2.5,40,男,已婚,18,私人,有,无防盗装置,进口,0,新车
1.8,39,男,已婚,18,政府,有,无防盗装置,国产,0,新车
2,39,男,已婚,18,政府,有,无防盗装置,国产,0,新车
1.8,38,男,已婚,18,私人,有,有防盗装置,进口,0,新车
1.8,37,男,已婚,18,公司,有,有防盗装置,进口,0,新车
1.6,47,男,已婚,17,政府,有,无防盗装置,国产,1,旧车
1.8,41,男,已婚,17,公司,有,无防盗装置,国产,0,旧车
2,38,男,已婚,17,公司,无,无防盗装置,国产,1,旧车
1.8,36,男,已婚,17,政府,有,无防盗装置,进口,0,旧车
1.8,41,男,已婚,17,私人,有,无防盗装置,国产,0,旧车
1.6,51,男,已婚,17,公司,有,无防盗装置,国产,0,旧车
3,45,男,已婚,17,公司,有,无防盗装置,进口,0,旧车
2,44,男,已婚,17,公司,有,无防盗装置,国产,0,旧车
1.8,41,男,已婚,17,政府,有,无防盗装置,国产,0,旧车
1.8,47,男,已婚,17,公司,无,无防盗装置,国产,0,旧车
2.2,45,男,已婚,17,公司,有,无防盗装置,国产,0,旧车
1.8,43,男,已婚,17,私人,无,无防盗装置,国产,1,旧车
2,36,男,已婚,17,政府,无,无防盗装置,进口,0,旧车
1.8,58,男,已婚,17,私人,无,无防盗装置,国产,0,旧车
2,48,男,已婚,17,公司,无,无防盗装置,进口,0,旧车
1.8,46,男,已婚,17,公司,无,无防盗装置,进口,0,旧车
1.8,44,男,已婚,17,政府,有,无防盗装置,国产,1,旧车
2,44,男,已婚,17,政府,有,无防盗装置,国产,0,旧车
1.8,40,男,已婚,17,政府,有,无防盗装置,国产,0,旧车
1.6,39,男,已婚,17,政府,有,无防盗装置,国产,0,旧车
1.8,38,男,已婚,17,公司,有,有防盗装置,国产,0,旧车
2.2,53,男,已婚,17,私人,有,无防盗装置,国产,0,旧车
1.8,47,男,已婚,17,私人,有,无防盗装置,国产,1,旧车
1.8,46,男,已婚,17,政府,有,无防盗装置,国产,0,旧车
2,44,男,已婚,17,政府,有,无防盗装置,进口,0,旧车
1.8,43,男,已婚,17,公司,无,无防盗装置,国产,0,旧车
1.8,40,男,已婚,17,公司,无,无防盗装置,进口,0,旧车
1.8,40,男,已婚,17,私人,有,有防盗装置,国产,0,旧车
1.8,38,男,已婚,17,私人,有,无防盗装置,国产,0,旧车
1.8,37,男,已婚,17,公司,有,无防盗装置,国产,0,旧车
1.8,50,男,已婚,17,公司,有,无防盗装置,国产,0,旧车
1.8,48,男,已婚,17,私人,有,无防盗装置,国产,1,旧车
1.6,45,男,已婚,17,私人,有,无防盗装置,国产,0,旧车
1.8,44,男,已婚,17,政府,有,无防盗装置,国产,0,旧车
2,41,男,已婚,17,私人,有,无防盗装置,进口,0,旧车
1.8,39,男,已婚,17,公司,有,无防盗装置,国产,0,旧车
3,39,男,已婚,17,私人,无,无防盗装置,进口,0,旧车
3,38,男,已婚,17,公司,有,无防盗装置,进口,0,旧车
1.6,46,男,已婚,17,私人,有,无防盗装置,国产,0,旧车
2,46,男,已婚,17,公司,有,无防盗装置,进口,0,旧车
1.8,45,男,已婚,17,政府,有,无防盗装置,国产,0,旧车
1,41,男,已婚,17,公司,有,无防盗装置,进口,0,旧车
1.8,40,男,已婚,17,私人,无,无防盗装置,国产,0,旧车
1.1,38,男,已婚,17,政府,有,无防盗装置,国产,0,旧车
1.8,52,男,已婚,17,公司,无,有防盗装置,国产,0,新车
1.8,52,男,已婚,17,公司,无,有防盗装置,国产,0,新车
1.8,51,男,已婚,17,私人,无,有防盗装置,国产,0,新车
1.8,50,男,已婚,17,私人,有,有防盗装置,进口,1,新车
1.6,48,男,已婚,17,私人,有,无防盗装置,国产,1,新车
1.8,47,男,已婚,17,私人,有,无防盗装置,国产,0,新车
1.8,47,男,已婚,17,公司,有,无防盗装置,国产,0,新车
2,47,男,已婚,17,私人,有,有防盗装置,国产,1,新车
1.8,46,男,已婚,17,私人,有,无防盗装置,国产,0,新车
2,45,男,已婚,17,政府,有,无防盗装置,进口,0,新车
1.6,44,男,已婚,17,私人,有,无防盗装置,国产,0,新车
1.8,43,男,已婚,17,政府,有,无防盗装置,国产,0,新车
1.8,43,男,已婚,17,私人,无,无防盗装置,国产,0,新车
2.4,43,男,已婚,17,私人,有,有防盗装置,进口,1,新车
1.8,42,男,已婚,17,私人,有,有防盗装置,国产,1,新车
2,42,男,已婚,17,政府,有,无防盗装置,国产,0,新车
1.6,41,男,已婚,17,公司,有,无防盗装置,国产,0,新车
1.8,41,女,已婚,17,私人,有,无防盗装置,进口,0,新车
1.8,41,男,已婚,17,公司,有,无防盗装置,国产,0,新车
1.8,40,男,已婚,17,私人,有,无防盗装置,国产,0,新车
1.8,40,男,已婚,17,私人,有,有防盗装置,国产,1,新车
2,40,男,已婚,17,公司,有,无防盗装置,国产,0,新车
2,40,男,已婚,17,私人,无,有防盗装置,国产,0,新车
2,40,男,已婚,17,政府,有,有防盗装置,进口,1,新车
2.3,40,男,已婚,17,公司,有,有防盗装置,进口,1,新车
2.8,40,男,已婚,17,公司,有,无防盗装置,进口,1,新车
1.8,39,男,已婚,17,私人,有,有防盗装置,国产,1,新车
2,39,男,已婚,17,私人,有,有防盗装置,国产,0,新车
1.3,38,男,已婚,17,私人,有,无防盗装置,国产,0,新车
2,38,男,已婚,17,公司,有,有防盗装置,进口,0,新车
2.3,38,男,已婚,17,公司,有,有防盗装置,进口,0,新车
1.8,37,男,已婚,17,私人,无,无防盗装置,国产,0,新车
2,37,男,已婚,17,私人,有,有防盗装置,进口,1,新车
1.8,36,男,已婚,17,公司,有,无防盗装置,国产,0,新车
2.8,36,男,已婚,17,私人,无,有防盗装置,国产,0,新车
1.8,35,男,已婚,17,政府,有,无防盗装置,国产,0,新车
1.6,37,男,已婚,16,私人,有,无防盗装置,国产,0,旧车
1.6,37,男,已婚,16,公司,有,无防盗装置,国产,1,旧车
2,38,男,已婚,16,政府,无,无防盗装置,进口,0,旧车
1.8,54,男,已婚,16,公司,有,无防盗装置,国产,0,旧车
1.6,53,男,已婚,16,公司,有,无防盗装置,国产,0,旧车
2,48,男,已婚,16,公司,有,有防盗装置,进口,0,旧车
1.8,38,男,已婚,16,公司,有,无防盗装置,进口,0,旧车
1.6,35,男,已婚,16,公司,有,无防盗装置,国产,0,旧车
1.8,54,男,已婚,16,公司,有,无防盗装置,国产,0,旧车
2.2,50,男,已婚,16,政府,无,无防盗装置,进口,0,旧车
1.8,49,男,已婚,16,私人,有,无防盗装置,进口,0,旧车
2.5,46,男,已婚,16,政府,有,无防盗装置,国产,0,旧车
1.6,45,男,已婚,16,政府,有,有防盗装置,国产,0,旧车
1.2,40,男,已婚,16,私人,有,无防盗装置,国产,1,旧车
1.8,38,男,已婚,16,公司,有,无防盗装置,进口,0,旧车
2,50,男,已婚,16,公司,无,无防盗装置,进口,0,旧车
1.8,40,男,已婚,16,公司,有,无防盗装置,国产,0,旧车
2,39,男,已婚,16,公司,无,无防盗装置,国产,0,旧车
1.8,37,男,已婚,16,私人,有,无防盗装置,国产,0,旧车
2,35,男,已婚,16,政府,无,有防盗装置,国产,0,旧车
1.8,54,男,已婚,16,私人,有,无防盗装置,国产,0,旧车
1.8,38,男,已婚,16,私人,有,无防盗装置,国产,0,旧车
1.8,52,男,已婚,16,公司,有,无防盗装置,国产,1,旧车
1.8,38,男,已婚,16,私人,有,无防盗装置,国产,0,旧车
2,38,男,已婚,16,公司,有,无防盗装置,进口,0,旧车
1.8,36,男,已婚,16,私人,有,无防盗装置,国产,0,旧车
1.8,36,男,已婚,16,政府,无,无防盗装置,国产,0,旧车
1.8,41,男,已婚,16,政府,有,有防盗装置,国产,0,旧车
2,41,男,已婚,16,政府,无,无防盗装置,进口,0,旧车
2.2,41,男,已婚,16,政府,无,无防盗装置,进口,0,旧车
1.8,39,男,已婚,16,政府,有,无防盗装置,国产,0,旧车
1.8,39,男,已婚,16,公司,有,无防盗装置,国产,1,旧车
1.6,38,男,已婚,16,私人,有,无防盗装置,国产,0,旧车
1.8,38,男,已婚,16,私人,有,有防盗装置,国产,0,旧车
2,38,男,已婚,16,政府,无,无防盗装置,进口,0,旧车
1.8,37,男,已婚,16,政府,无,无防盗装置,国产,1,旧车
1.6,35,男,已婚,16,政府,有,无防盗装置,国产,0,旧车
2,54,男,已婚,16,私人,有,有防盗装置,国产,1,旧车
1.8,40,男,已婚,16,公司,有,有防盗装置,国产,0,旧车
1.8,40,女,已婚,16,私人,有,无防盗装置,国产,0,旧车
1.6,39,男,已婚,16,公司,有,无防盗装置,进口,0,旧车
1.8,37,男,已婚,16,公司,有,无防盗装置,进口,0,旧车
1.8,36,男,已婚,16,私人,有,有防盗装置,国产,0,旧车
2,36,男,已婚,16,私人,有,无防盗装置,国产,0,旧车
2,36,男,已婚,16,公司,有,无防盗装置,进口,0,旧车
1.6,49,男,已婚,16,私人,有,无防盗装置,进口,0,新车
1.8,47,男,已婚,16,私人,有,无防盗装置,国产,0,新车
1.6,46,男,已婚,16,私人,有,无防盗装置,国产,0,新车
1.8,46,男,已婚,16,公司,有,无防盗装置,国产,0,新车
2.4,42,男,已婚,16,私人,有,无防盗装置,进口,1,新车
1.8,41,男,已婚,16,政府,无,无防盗装置,国产,0,新车
2.2,41,男,已婚,16,政府,有,无防盗装置,进口,1,新车
1.6,40,男,已婚,16,私人,有,无防盗装置,国产,0,新车
1.6,40,男,已婚,16,公司,有,无防盗装置,国产,0,新车
1.8,39,男,已婚,16,私人,有,有防盗装置,进口,0,新车
1.8,39,男,已婚,16,公司,有,无防盗装置,国产,0,新车
1.8,39,男,已婚,16,公司,有,无防盗装置,进口,0,新车
2,39,男,已婚,16,私人,有,无防盗装置,进口,0,新车
2.3,39,男,已婚,16,私人,有,无防盗装置,进口,1,新车
1.8,37,男,已婚,16,私人,无,有防盗装置,国产,0,新车
2,37,男,已婚,16,公司,有,无防盗装置,进口,0,新车
1.8,36,男,已婚,16,公司,有,无防盗装置,国产,0,新车
1.8,36,男,已婚,16,私人,有,无防盗装置,进口,0,新车
1.8,35,男,已婚,16,私人,有,无防盗装置,国产,0,新车
1.8,35,男,已婚,16,公司,有,无防盗装置,进口,0,新车
1.8,34,男,已婚,16,政府,有,无防盗装置,进口,1,新车
1.8,46,男,已婚,15,公司,有,无防盗装置,国产,0,旧车
1.5,40,男,已婚,15,公司,有,有防盗装置,进口,0,旧车
3,36,男,已婚,15,政府,有,有防盗装置,进口,0,旧车
3,38,男,已婚,15,公司,无,无防盗装置,进口,1,旧车
2,43,男,已婚,15,公司,有,无防盗装置,进口,0,旧车
3,43,男,已婚,15,公司,有,无防盗装置,进口,0,旧车
1.6,41,男,已婚,15,私人,无,无防盗装置,国产,1,旧车
1.8,41,男,已婚,15,公司,有,无防盗装置,进口,0,旧车
1.8,41,男,已婚,15,私人,有,无防盗装置,国产,0,旧车
1.6,33,男,已婚,15,私人,有,无防盗装置,国产,0,旧车
1.6,42,男,已婚,15,政府,有,无防盗装置,国产,1,旧车
1.6,41,男,已婚,15,私人,有,无防盗装置,国产,1,旧车
1.8,41,男,已婚,15,公司,无,无防盗装置,国产,0,旧车
1.6,39,男,已婚,15,公司,有,无防盗装置,国产,0,旧车
1.8,37,男,已婚,15,政府,有,无防盗装置,国产,0,旧车
1.6,36,男,已婚,15,私人,有,无防盗装置,国产,0,旧车
1.8,52,男,已婚,15,私人,有,有防盗装置,国产,1,旧车
2,51,男,已婚,15,公司,无,无防盗装置,国产,0,旧车
2.2,41,男,已婚,15,公司,有,无防盗装置,进口,1,旧车
1.8,40,男,已婚,15,私人,有,无防盗装置,国产,0,旧车
2.2,40,男,已婚,15,私人,有,无防盗装置,进口,0,旧车
1.8,39,男,已婚,15,政府,有,无防盗装置,国产,0,旧车
2,39,男,已婚,15,政府,有,无防盗装置,国产,1,旧车
1.8,38,男,已婚,15,政府,无,无防盗装置,国产,0,旧车
1.8,46,男,已婚,15,公司,有,无防盗装置,国产,0,旧车
2,40,男,已婚,15,公司,无,无防盗装置,国产,1,旧车
2,39,男,已婚,15,私人,有,无防盗装置,进口,0,旧车
1.8,35,男,已婚,15,公司,有,无防盗装置,国产,0,旧车
1.8,62,男,已婚,15,公司,有,无防盗装置,国产,0,旧车
1.8,50,男,已婚,15,公司,有,无防盗装置,国产,0,旧车
1.6,49,男,已婚,15,私人,有,无防盗装置,国产,0,旧车
1.8,49,男,已婚,15,私人,有,无防盗装置,进口,0,旧车
2,49,男,已婚,15,公司,有,无防盗装置,国产,0,旧车
3,44,男,已婚,15,政府,有,无防盗装置,进口,0,旧车
1.8,40,男,已婚,15,公司,无,无防盗装置,国产,0,旧车
1.8,37,男,已婚,15,政府,有,无防盗装置,国产,0,旧车
2,49,男,已婚,15,私人,有,有防盗装置,进口,1,旧车
2.3,49,男,已婚,15,私人,有,有防盗装置,进口,0,旧车
1.8,48,男,已婚,15,公司,有,无防盗装置,进口,0,旧车
1.6,47,男,已婚,15,公司,有,有防盗装置,国产,0,旧车
1.6,46,男,已婚,15,私人,无,无防盗装置,国产,0,旧车
1.8,45,男,已婚,15,公司,有,无防盗装置,国产,1,旧车
1.8,41,男,已婚,15,私人,无,有防盗装置,国产,0,旧车
1.8,36,男,已婚,15,政府,有,无防盗装置,国产,0,旧车
1.6,52,男,已婚,15,私人,有,无防盗装置,国产,0,新车
1.8,48,男,已婚,15,私人,有,有防盗装置,国产,0,新车
1.6,44,男,已婚,15,公司,有,无防盗装置,国产,0,新车
2.8,44,男,已婚,15,公司,有,有防盗装置,进口,0,新车
2.8,43,男,已婚,15,公司,有,无防盗装置,进口,0,新车
1.6,41,男,已婚,15,公司,有,无防盗装置,国产,0,新车
1.8,41,男,已婚,15,私人,有,无防盗装置,国产,0,新车
1.8,41,男,已婚,15,私人,有,无防盗装置,进口,0,新车
2,41,男,已婚,15,私人,有,无防盗装置,进口,1,新车
1.8,40,男,已婚,15,政府,有,有防盗装置,国产,0,新车
1.5,39,男,已婚,15,公司,有,无防盗装置,国产,0,新车
1.6,38,男,已婚,15,公司,无,无防盗装置,国产,0,新车
2.4,38,女,已婚,15,私人,有,有防盗装置,进口,0,新车
1.8,37,男,已婚,15,公司,有,有防盗装置,国产,0,新车
1.8,37,男,已婚,15,私人,有,无防盗装置,国产,0,新车
2,37,男,已婚,15,公司,无,无防盗装置,进口,1,新车
1.8,36,男,已婚,15,公司,有,有防盗装置,国产,0,新车
1.8,36,男,已婚,15,私人,有,有防盗装置,国产,1,新车
1.6,35,女,已婚,15,私人,有,无防盗装置,国产,0,新车
1.8,35,男,已婚,15,私人,有,有防盗装置,国产,0,新车
1.8,35,男,已婚,15,公司,有,无防盗装置,国产,1,新车
1.8,34,男,已婚,15,私人,无,无防盗装置,国产,0,新车
2.4,34,男,已婚,15,私人,有,无防盗装置,进口,0,新车
1.8,44,男,已婚,14,私人,有,无防盗装置,国产,1,旧车
1.8,41,男,已婚,14,私人,无,有防盗装置,国产,0,旧车
1.6,45,男,已婚,14,公司,无,无防盗装置,国产,0,旧车
1.8,38,男,已婚,14,政府,有,有防盗装置,国产,0,旧车
1.8,55,男,已婚,14,公司,无,无防盗装置,国产,0,旧车
1.8,37,男,已婚,14,公司,有,无防盗装置,进口,0,旧车
2,34,男,已婚,14,公司,有,无防盗装置,进口,0,旧车
2,33,男,已婚,14,政府,有,无防盗装置,进口,0,旧车
1.8,56,男,已婚,14,政府,无,有防盗装置,国产,0,旧车
1.6,54,男,已婚,14,私人,有,无防盗装置,国产,0,旧车
2,49,男,已婚,14,私人,有,无防盗装置,进口,1,旧车
1.6,48,男,已婚,14,政府,无,无防盗装置,进口,0,旧车
1.8,36,男,已婚,14,公司,无,无防盗装置,国产,1,旧车
1.8,34,男,已婚,14,公司,有,无防盗装置,国产,0,旧车
2,34,女,已婚,14,公司,无,有防盗装置,国产,0,旧车
1.8,46,男,已婚,14,政府,无,无防盗装置,国产,0,旧车
1.8,42,男,已婚,14,政府,有,无防盗装置,国产,0,旧车
1.8,41,男,已婚,14,政府,无,无防盗装置,国产,1,旧车
1.6,38,男,已婚,14,政府,无,无防盗装置,国产,0,旧车
1.8,38,男,已婚,14,公司,无,无防盗装置,进口,0,旧车
1.6,35,男,已婚,14,政府,有,无防盗装置,国产,0,旧车
1.8,49,男,已婚,14,政府,有,无防盗装置,进口,0,旧车
1.8,43,男,已婚,14,政府,有,无防盗装置,国产,0,旧车
2,39,男,已婚,14,公司,有,无防盗装置,国产,1,旧车
1.8,38,男,已婚,14,公司,有,无防盗装置,国产,0,旧车
1.8,33,男,已婚,14,公司,有,无防盗装置,国产,0,旧车
1.8,49,男,已婚,14,公司,有,无防盗装置,国产,1,旧车
1.8,40,男,已婚,14,政府,无,无防盗装置,国产,0,旧车
2,38,男,已婚,14,公司,有,有防盗装置,进口,0,旧车
1.8,36,男,已婚,14,公司,有,无防盗装置,进口,1,旧车
1.8,36,男,已婚,14,公司,有,无防盗装置,国产,1,旧车
1.8,35,男,已婚,14,私人,有,有防盗装置,进口,0,旧车
1.6,34,男,已婚,14,公司,有,无防盗装置,国产,0,旧车
1.8,33,男,已婚,14,私人,有,无防盗装置,国产,0,旧车
2,53,男,已婚,14,公司,无,无防盗装置,国产,1,旧车
1.8,49,男,已婚,14,私人,有,无防盗装置,国产,0,旧车
1,47,男,已婚,14,公司,无,无防盗装置,国产,1,旧车
1.8,39,男,已婚,14,私人,无,有防盗装置,国产,1,旧车
1.6,38,男,已婚,14,公司,有,无防盗装置,国产,0,旧车
2,38,男,已婚,14,公司,无,无防盗装置,国产,1,旧车
1.8,36,男,已婚,14,政府,有,无防盗装置,国产,0,旧车
1.6,34,男,已婚,14,政府,有,有防盗装置,国产,1,旧车
1.8,48,男,已婚,14,公司,有,无防盗装置,进口,0,旧车
1.8,42,男,已婚,14,公司,有,无防盗装置,国产,0,旧车
1.8,41,男,已婚,14,私人,无,无防盗装置,国产,1,旧车
2,40,男,已婚,14,公司,无,无防盗装置,国产,0,旧车
1.8,38,男,已婚,14,政府,有,有防盗装置,国产,1,旧车
1.8,37,男,已婚,14,公司,有,无防盗装置,国产,0,旧车
1.8,37,男,已婚,14,政府,无,无防盗装置,进口,0,旧车
2,37,男,已婚,14,私人,有,无防盗装置,进口,1,旧车
1.6,36,男,已婚,14,私人,有,无防盗装置,国产,0,旧车
2,35,男,已婚,14,公司,有,无防盗装置,国产,0,旧车
1.6,34,男,已婚,14,私人,有,无防盗装置,进口,0,旧车
1.8,34,男,已婚,14,政府,有,无防盗装置,国产,0,旧车
2.4,56,男,已婚,14,私人,有,有防盗装置,进口,0,新车
1.5,52,男,已婚,14,私人,有,无防盗装置,国产,1,新车
1.8,50,男,已婚,14,私人,有,有防盗装置,国产,0,新车
2.3,49,男,已婚,14,私人,有,有防盗装置,进口,0,新车
1.6,48,男,已婚,14,公司,有,无防盗装置,国产,0,新车
1.6,45,男,已婚,14,私人,有,无防盗装置,国产,1,新车
1,44,男,已婚,14,私人,有,无防盗装置,国产,0,新车
1,41,女,已婚,14,私人,有,有防盗装置,国产,0,新车
1.6,41,男,已婚,14,私人,有,无防盗装置,国产,1,新车
1.8,41,男,已婚,14,私人,无,有防盗装置,国产,0,新车
2.8,40,男,已婚,14,私人,有,有防盗装置,国产,0,新车
1.8,39,男,已婚,14,私人,有,有防盗装置,国产,1,新车
2.8,39,男,已婚,14,公司,有,无防盗装置,进口,0,新车
3,38,男,已婚,14,公司,有,有防盗装置,进口,0,新车
1.8,37,男,已婚,14,私人,有,无防盗装置,国产,1,新车
2,37,男,已婚,14,政府,有,无防盗装置,进口,0,新车
2,36,男,已婚,14,公司,有,无防盗装置,进口,1,新车
1.8,35,男,已婚,14,政府,有,无防盗装置,国产,1,新车
2,35,女,已婚,14,私人,有,有防盗装置,进口,1,新车
2.4,35,男,已婚,14,公司,有,无防盗装置,进口,0,新车
1.6,34,男,已婚,14,私人,无,无防盗装置,国产,0,新车
2,34,男,已婚,14,私人,有,无防盗装置,进口,0,新车
1.8,33,男,已婚,14,政府,有,无防盗装置,进口,0,新车
2,33,男,已婚,14,公司,有,无防盗装置,进口,0,新车
2.5,33,男,已婚,14,私人,有,无防盗装置,进口,0,新车
1.6,43,男,已婚,13,私人,有,无防盗装置,国产,0,旧车
1.8,36,男,已婚,13,政府,有,无防盗装置,国产,1,旧车
1.8,40,男,已婚,13,私人,有,无防盗装置,国产,1,旧车
1.8,40,男,已婚,13,公司,有,无防盗装置,国产,1,旧车
1.8,39,男,已婚,13,公司,无,无防盗装置,进口,0,旧车
1.8,37,男,已婚,13,私人,有,无防盗装置,国产,0,旧车
1.8,33,男,已婚,13,政府,无,无防盗装置,进口,0,旧车
1.8,41,男,已婚,13,政府,有,无防盗装置,国产,0,旧车
1.6,39,男,已婚,13,私人,有,无防盗装置,国产,0,旧车
1.8,35,男,已婚,13,政府,有,无防盗装置,国产,1,旧车
1.8,34,女,已婚,13,公司,有,有防盗装置,国产,0,旧车
2,55,男,已婚,13,政府,无,无防盗装置,进口,0,旧车
2,44,男,已婚,13,公司,无,无防盗装置,国产,0,旧车
1,33,男,已婚,13,私人,无,无防盗装置,国产,1,旧车
1.8,50,男,已婚,13,政府,有,无防盗装置,国产,0,旧车
1.8,45,男,已婚,13,政府,有,无防盗装置,国产,0,旧车
1.6,41,男,已婚,13,政府,有,有防盗装置,国产,0,旧车
1.8,41,男,已婚,13,公司,有,无防盗装置,国产,0,旧车
1.8,37,男,已婚,13,私人,有,无防盗装置,国产,0,旧车
1.8,34,男,已婚,13,政府,有,无防盗装置,国产,0,旧车
1.8,34,男,已婚,13,政府,有,无防盗装置,国产,0,旧车
